Name	GeneDB IDs	Log2 H/L	Log10 (Int H*L)	Group	Glycosome status 
	Tb11.01.5225 	0.921145603	16.47707357	ii	red
	Tb927.7.3770 	0.917294038	14.51837026	ii	green
	Tb11.02.1680 	0.911673128	14.56755134	ii	white
	Tb11.02.5420 	0.908166664	14.47213714	ii	white
	Tb09.211.1360 	0.896776903	15.90889887	ii	white
	Tb11.01.1290 	0.83040904	15.67175479	ii	gray
	Tb927.7.3500 	0.815766189	16.2224396	ii	gray
	Tb11.01.1400 	0.809593925	17.33539316	ii	green
PRPS-2	Tb11.02.0530 	0.776881955	15.75847548	ii	gray
	Tb927.4.2530 	0.693771735	16.78104251	ii	red
	Tb927.10.15360 	0.604777612	17.02207063	i	red
	Tb927.10.7700 	0.571250567	17.47272885	i	red
	Tb927.3.2820 	1.695414838	9.95276911	i	red
	Tb927.5.2280 	1.57200773	9.736845816	i	red
	Tb927.7.940 	1.570432014	10.38892843	i	red
	Tb11.02.4800 	1.420201962	10.98387633	i	red
	Tb11.01.2460 	1.262231064	11.71599892	i	red
	Tb927.8.7120 	1.254180827	11.79123105	i	red
	Tb09.211.4630 	1.246703545	9.862857047	i	red
	Tb927.7.4800 	1.193733693	10.36772278	i	red
	Tb927.10.1230 	1.140902552	12.75479078	i	red
	Tb927.10.4620 	1.126972856	11.82288189	i	red
	Tb09.160.0465 	1.097359447	11.94619261	i	red
	Tb09.160.4910 	1.081612323	10.31845706	i	red
	Tb927.8.5370 	1.069361053	10.13355839	i	red
	Tb09.v1.0390 	1.020564042	12.7719817	i	red
	Tb11.01.7005 	1.002954498	11.84089008	i	red
	Tb11.02.1230 	0.99938007	13.40261253	i	red
	Tb927.10.6840 	0.996804024	13.70375738	i	red
	Tb927.6.1420 	0.985427565	10.62635211	i	red
	Tb11.01.1590 	0.957320316	11.2107413	i	red
	Tb11.01.1980 	0.944941955	12.32708912	i	red
	Tb927.6.2220 	0.93851989	14.09225362	i	red
	Tb927.3.680 	0.938181033	12.92522836	i	red
	Tb927.5.740 	0.931546184	12.28329123	i	red
	Tb927.2.4580 	0.922836524	13.08878907	i	red
	Tb09.160.0510 	0.917530926	12.28810107	i	red
	Tb927.6.4180 	0.913663799	14.14860848	i	red
	Tb927.8.1010 	0.912649865	11.02443228	i	red
	Tb09.211.3955 	0.897279686	12.03147397	i	red
	Tb927.7.5780 	0.896465616	12.11995337	i	red
	Tb927.3.5130 	0.891803428	11.36606095	i	red
	Tb11.01.7400 	0.881161892	10.54643561	i	red
	Tb09.211.2780 	0.873655733	11.23654734	i	red
	Tb09.160.2400 	0.865047789	11.06645909	i	red
	Tb927.7.3380 	0.862748926	14.55302498	i	red
	Tb11.02.4485 	0.861059973	13.70493125	i	red
	Tb927.4.2450 	0.859619419	14.13446686	i	red
	Tb927.7.4880 	0.859293532	13.19729549	i	red
	Tb09.211.1290 	0.853918172	13.61307494	i	red
	Tb927.7.7080 	0.850674753	13.07009837	i	red
	Tb927.5.4440 	0.849599011	11.00928704	i	red
	Tb927.10.15970 	0.833257862	10.58576285	i	red
	Tb927.6.3630 	0.831642974	14.2035063	i	red
	Tb927.7.3420 	0.827922007	14.58259401	i	red
	Tb11.02.2120 	0.823310322	12.15548542	i	red
	Tb927.10.5520 	0.821695926	14.27296346	i	red
	Tb09.244.2840 	0.809247008	12.8341456	i	red
	Tb927.4.1610 	0.806487869	11.99099206	i	red
	Tb927.7.6420 	0.803023379	13.63949944	i	red
	Tb11.01.0850 	0.802317314	10.160045	i	red
