Protein IDs,LFQ intensity DM-dig,LFQ intensity TbGPI12-dig,dig_log2_fc,dig_log10_int
Tb927.10.15410,2021200.0,1081900,-0.9016449280214253,6.19076577564961
Tb927.10.1550,691560.0,19738,-5.130806707767013,5.551021591903285
Tb927.10.15720,557260.0,19738,-4.819302883008971,5.460144312135651
Tb927.10.16120,446270.0,19738,-4.498869108502743,5.367363376661283
Tb927.10.2290,217560.0,19738,-3.462365613124487,5.074264082238886
Tb927.10.3520,1253900.0,19738,-5.989302673197047,5.804016012443272
Tb927.11.14130,2272100.0,701510,-1.6954907576759752,6.172254012921911
Tb927.10.3990,574580.0,19738,-4.863460058575429,5.472988888190548
Tb927.10.4850,19738.0,19738,0.0,4.295303144637152
Tb927.10.5140,19738.0,19738,0.0,4.295303144637152
Tb927.10.6190,1118700.0,295730,-1.9194706943614073,5.849551463470151
Tb927.10.6510,5880900.0,1730900,-1.7645145811371599,6.5804573730159674
Tb927.10.7410,8033400.0,1174800,-2.7735955423693164,6.663144747837109
Tb927.10.7570,1778000.0,208830,-3.0898544382666544,5.997130713307731
Tb927.10.8110,13866000.0,17480000,0.3341535191991735,7.195152133593287
Tb927.10.8940,1705700.0,315630,-2.4340576842505253,6.004607226054931
Tb927.10.9430,505400.0,19738,-4.6783779464913104,5.419243450147731
